key,value,timestamp,topic,partition,offset
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.1, ""volume"": 0.00097409, ""timestamp"": ""2024-12-11T17:15:03.420117Z"", ""timestamp_ms"": 1733937303420}",1733937303407,trades,0,91952
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.5, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:03.756457Z"", ""timestamp_ms"": 1733937303756}",1733937303811,trades,0,91953
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.00099026, ""timestamp"": ""2024-12-11T17:15:04.131610Z"", ""timestamp_ms"": 1733937304131}",1733937304118,trades,0,91954
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.4, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:04.468612Z"", ""timestamp_ms"": 1733937304468}",1733937304453,trades,0,91955
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.1, ""volume"": 0.00160341, ""timestamp"": ""2024-12-11T17:15:05.441962Z"", ""timestamp_ms"": 1733937305441}",1733937305433,trades,0,91956
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.1, ""volume"": 0.00271162, ""timestamp"": ""2024-12-11T17:15:05.722313Z"", ""timestamp_ms"": 1733937305722}",1733937305757,trades,0,91957
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.3, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:06.316783Z"", ""timestamp_ms"": 1733937306316}",1733937306301,trades,0,91958
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.2, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:06.934539Z"", ""timestamp_ms"": 1733937306934}",1733937306929,trades,0,91959
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.1, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:06.934539Z"", ""timestamp_ms"": 1733937306934}",1733937306930,trades,0,91960
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.0, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:06.934539Z"", ""timestamp_ms"": 1733937306934}",1733937306930,trades,0,91961
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3627.9, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:06.937837Z"", ""timestamp_ms"": 1733937306937}",1733937306931,trades,0,91962
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.1, ""volume"": 0.00022499, ""timestamp"": ""2024-12-11T17:15:07.097141Z"", ""timestamp_ms"": 1733937307097}",1733937307091,trades,0,91963
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.1, ""volume"": 0.00074193, ""timestamp"": ""2024-12-11T17:15:07.097141Z"", ""timestamp_ms"": 1733937307097}",1733937307091,trades,0,91964
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.1, ""volume"": 0.00233551, ""timestamp"": ""2024-12-11T17:15:07.097141Z"", ""timestamp_ms"": 1733937307097}",1733937307092,trades,0,91965
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3627.8, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:07.593229Z"", ""timestamp_ms"": 1733937307593}",1733937307704,trades,0,91966
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.1, ""volume"": 0.00051859, ""timestamp"": ""2024-12-11T17:15:07.771335Z"", ""timestamp_ms"": 1733937307771}",1733937307758,trades,0,91967
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.0, ""volume"": 8.079e-05, ""timestamp"": ""2024-12-11T17:15:09.359588Z"", ""timestamp_ms"": 1733937309359}",1733937309441,trades,0,91968
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100983.9, ""volume"": 0.00050672, ""timestamp"": ""2024-12-11T17:15:09.669550Z"", ""timestamp_ms"": 1733937309669}",1733937309654,trades,0,91969
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100983.9, ""volume"": 0.05518886, ""timestamp"": ""2024-12-11T17:15:09.856590Z"", ""timestamp_ms"": 1733937309856}",1733937309847,trades,0,91970
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100983.9, ""volume"": 0.0005, ""timestamp"": ""2024-12-11T17:15:09.856590Z"", ""timestamp_ms"": 1733937309856}",1733937309848,trades,0,91971
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100983.9, ""volume"": 0.0005, ""timestamp"": ""2024-12-11T17:15:09.856590Z"", ""timestamp_ms"": 1733937309856}",1733937309848,trades,0,91972
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100983.9, ""volume"": 0.0005, ""timestamp"": ""2024-12-11T17:15:09.856590Z"", ""timestamp_ms"": 1733937309856}",1733937309849,trades,0,91973
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3627.7, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:10.857077Z"", ""timestamp_ms"": 1733937310857}",1733937310877,trades,0,91974
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3627.6, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:10.857077Z"", ""timestamp_ms"": 1733937310857}",1733937310877,trades,0,91975
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3627.5, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:10.857077Z"", ""timestamp_ms"": 1733937310857}",1733937310877,trades,0,91976
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.01335958, ""timestamp"": ""2024-12-11T17:15:11.319249Z"", ""timestamp_ms"": 1733937311319}",1733937311304,trades,0,91977
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.01965244, ""timestamp"": ""2024-12-11T17:15:11.581481Z"", ""timestamp_ms"": 1733937311581}",1733937311610,trades,0,91978
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.00262467, ""timestamp"": ""2024-12-11T17:15:11.657105Z"", ""timestamp_ms"": 1733937311657}",1733937312004,trades,0,91979
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.00382532, ""timestamp"": ""2024-12-11T17:15:11.678080Z"", ""timestamp_ms"": 1733937311678}",1733937312005,trades,0,91980
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100980.0, ""volume"": 0.000512, ""timestamp"": ""2024-12-11T17:15:12.299637Z"", ""timestamp_ms"": 1733937312299}",1733937312423,trades,0,91981
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100979.9, ""volume"": 0.000612, ""timestamp"": ""2024-12-11T17:15:12.299637Z"", ""timestamp_ms"": 1733937312299}",1733937312425,trades,0,91982
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.00285564, ""timestamp"": ""2024-12-11T17:15:12.355290Z"", ""timestamp_ms"": 1733937312355}",1733937312425,trades,0,91983
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3627.4, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:12.367676Z"", ""timestamp_ms"": 1733937312367}",1733937312426,trades,0,91984
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.002, ""timestamp"": ""2024-12-11T17:15:12.394603Z"", ""timestamp_ms"": 1733937312394}",1733937312426,trades,0,91985
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.00295163, ""timestamp"": ""2024-12-11T17:15:12.432010Z"", ""timestamp_ms"": 1733937312432}",1733937312435,trades,0,91986
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.00301479, ""timestamp"": ""2024-12-11T17:15:12.660665Z"", ""timestamp_ms"": 1733937312660}",1733937312651,trades,0,91987
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.00223889, ""timestamp"": ""2024-12-11T17:15:12.695331Z"", ""timestamp_ms"": 1733937312695}",1733937312679,trades,0,91988
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.002, ""timestamp"": ""2024-12-11T17:15:12.772645Z"", ""timestamp_ms"": 1733937312772}",1733937312768,trades,0,91989
